id,department,number,school,title,course_level,department_alias,units,description,department_name,professor_history,prerequisite_tree,prerequisite_list,prerequisite_text,prerequisite_for,repeatability,grading_option,concurrent,same_as,restriction,overlap,corequisite,ge_list,ge_text,terms
CHEM51C,CHEM,51C,School of Physical Sciences,Organic Chemistry,Lower Division (1-99),[],"[4, 4]","Fundamental concepts relating to carbon compounds with emphasis on structural theory and the nature of chemical bonding, stereochemistry, reaction mechanisms, and stereoscopic, physical, and chemical properties of the principal classes of carbon compounds.",Chemistry,"['srychnov', 'blums', 'erjarvo', 'saewungk', 'dlvanvra', 'ffreeman', 's3king', 'dtobias', 'cdv', 'jyeh', 'jsnowick', 'gweiss', 'jpresche']","{""AND"":[""CHEM 51B"",{""OR"":[""CHEM 51LB"",""CHEM H52LB"",""CHEM M52LB""]}]}","['CHEM 51B', 'CHEM 51LB', 'CHEM M52LB', 'CHEM H52LB']", CHEM 51B and (CHEM 51LB or CHEM M52LB or CHEM H52LB). CHEM 51B with a grade of C- or better. CHEM 51LB with a grade of C- or better. CHEM M52LB with a grade of C- or better. CHEM H52LB with a grade of C- or better,"['BIO SCI E118', 'CHEM 51LC', 'CHEM 51LD', 'CHEM H52LC', 'CHEM M52LC', 'CHEM 100', 'CHEM 100S', 'CHEM 107', 'CHEM 125', 'CHEM 128', 'CHEM 138', 'CHEM 141', 'CHEM 156', 'CHEM 160', 'CHEM 177', 'CHEM 177L', 'CHEM 203', 'EARTHSS 144', 'EARTHSS 164', 'EARTHSS 264', 'MOL BIO 203', 'MOL BIO 204', 'PHRMSCI 122L', 'PHRMSCI 170A', 'PHRMSCI 172', 'PHRMSCI 177', 'PHRMSCI 177L']",,,,,Undeclared Majors have first consideration for enrollment. School of Physical Sciences students have first consideration for enrollment. School of Biological Sciences students have first consideration for enrollment. School of Engineering students have first consideration for enrollment. Program in Nursing Science students have first consideration for enrollment. Dept Pharmaceutical Sciences students have first consideration for enrollment. Program in Public Health students have first consideration for enrollment.,CHEM H52C.,,[],,"['2019 Spring', '2019 Summer2', '2019 Fall', '2020 Spring', '2020 Summer2', '2020 Fall', '2021 Spring', '2021 Summer2', '2021 Fall', '2022 Spring', '2022 Summer2', '2022 Fall']"
CHEM51LB,CHEM,51LB,School of Physical Sciences,Organic Chemistry Laboratory,Lower Division (1-99),[],"[3, 3]","Modern techniques of organic chemistry, using selected experiments to illustrate topics introduced in CHEM 51A-CHEM 51B-CHEM 51C. Materials fee.",Chemistry,"['rlink', 'zhao', 's3king']","{""AND"":[""CHEM 51A"",""CHEM 51B"",{""OR"":[""CHEM 1LD"",""CHEM H2LB"",""CHEM M2LB""]}]}","['CHEM H2LB', 'CHEM 51A', 'CHEM 51B', 'CHEM M2LB', 'CHEM 1LD']",CHEM 51A AND CHEM 51B AND ( CHEM 1LD OR CHEM H2LB OR CHEM M2LB ) AND ( NO REPEATS ALLOWED IF GRADE = F OR BETTER ),"['CHEM 51C', 'CHEM 51LC']",,,,,School of Biological Sciences students have first consideration for enrollment. School of Physical Sciences students have first consideration for enrollment. School of Engineering students have first consideration for enrollment. Program in Nursing Science students have first consideration for enrollment. Dept Pharmaceutical Sciences students have first consideration for enrollment. Program in Public Health students have first consideration for enrollment. Undeclared Majors have first consideration for enrollment.,"CHEM H52LA, CHEM M52LA.", CHEM 51B,[],,"['2019 Winter', '2019 Summer1', '2019 Summer10wk', '2019 Summer2', '2020 Winter', '2021 Winter', '2021 Summer1', '2021 Summer10wk', '2021 Summer2', '2022 Winter', '2022 Summer1', '2022 Summer10wk', '2022 Summer2']"
CHEM51LC,CHEM,51LC,School of Physical Sciences,Organic Chemistry Laboratory,Lower Division (1-99),[],"[3, 3]","Modern techniques of organic chemistry, using selected experiments to illustrate topics introduced in CHEM 51A-B-C. Materials fee.",Chemistry,"['gweiss', 'rlink', 's3king', 'dlvanvra']","{""AND"":[""CHEM 51B"",""CHEM 51C"",{""OR"":[""CHEM 51LB"",""CHEM H52LB"",""CHEM M52LB""]}]}","['CHEM 51B', 'CHEM H52LB', 'CHEM 51C', 'CHEM M52LB', 'CHEM 51LB']",CHEM 51B AND CHEM 51C AND ( CHEM 51LB OR CHEM H52LB OR CHEM M52LB ) AND ( NO REPEATS ALLOWED IF GRADE = F OR BETTER ),"['CHEM 51LD', 'CHEM H52LC', 'CHEM 156', 'CHEM 160']",,,,,School of Biological Sciences students have first consideration for enrollment. School of Physical Sciences students have first consideration for enrollment. School of Engineering students have first consideration for enrollment. Program in Nursing Science students have first consideration for enrollment. Dept Pharmaceutical Sciences students have first consideration for enrollment. Program in Public Health students have first consideration for enrollment. Undeclared Majors have first consideration for enrollment.,"CHEM H52LB, CHEM M52LB.", CHEM 51C,[],,"['2019 Spring', '2019 Summer2', '2019 Fall', '2020 Spring', '2020 Summer1', '2020 Summer10wk', '2020 Summer2', '2020 Fall', '2021 Spring', '2021 Summer2', '2021 Fall', '2022 Spring', '2022 Summer2', '2022 Fall']"
CHEM51LD,CHEM,51LD,School of Physical Sciences,Organic Chemistry Laboratory,Lower Division (1-99),[],"[3, 3]",Modern techniques of organic chemistry using selected experiments to illustrate topics introduced in CHEM 51A-CHEM 51B-CHEM 51C. Materials fee.,Chemistry,"['erjarvo', 'rlink']","{""AND"":[""CHEM 51C"",""CHEM 51LC""]}","['CHEM 51C', 'CHEM 51LC']", CHEM 51C and CHEM 51LC. CHEM 51C with a grade of C- or better. CHEM 51LC with a grade of C- or better,[],,,,,School of Biological Sciences students have first consideration for enrollment. School of Physical Sciences students have first consideration for enrollment. School of Engineering students have first consideration for enrollment. Program in Nursing Science students have first consideration for enrollment. Dept Pharmaceutical Sciences students have first consideration for enrollment. Program in Public Health students have first consideration for enrollment. Undeclared Majors have first consideration for enrollment.,"CHEM H52LC, CHEM M52LC.",,[],,"['2019 Summer1', '2019 Summer10wk', '2019 Fall', '2020 Fall', '2021 Summer1', '2021 Summer10wk', '2021 Fall', '2022 Fall']"
CHEMH180A,CHEM,H180A,School of Physical Sciences,Honors Research in Chemistry,Upper Division (100-199),[],"[4, 4]",Undergraduate honors research in Chemistry. A student time commitment of 10-15 hours per week is required.,Chemistry,"['rdoedens', 'ajshaka']",,[],,"['CHEM H180B', 'CHEM H181W']",,,,,Chemistry Honors students only. Campuswide Honors Collegium students only.,,,[],,"['2019 Fall', '2020 Fall', '2021 Fall', '2022 Fall']"
CHEMH180B,CHEM,H180B,School of Physical Sciences,Honors Research in Chemistry,Upper Division (100-199),[],"[4, 4]",Undergraduate honors research in Chemistry. A student time commitment of 10-15 hours per week is required.,Chemistry,"['rdoedens', 'ajshaka']","{""AND"":[""CHEM H180A""]}",['CHEM H180A'], CHEM H180A,"['CHEM H180C', 'CHEM H181W']",,,,,Campuswide Honors Collegium students only.,,,[],,"['2019 Winter', '2020 Winter', '2021 Winter', '2022 Winter']"
CHEMH180C,CHEM,H180C,School of Physical Sciences,Honors Research in Chemistry,Upper Division (100-199),[],"[4, 4]",Undergraduate honors research in Chemistry.  A student time committment of 10-15 hours per week is required.,Chemistry,"['rdoedens', 'smang', 'ajshaka']","{""AND"":[""CHEM H180B""]}",['CHEM H180B'], CHEM H180B,['CHEM H181W'],,,,,Chemistry Honors students only. Chemistry majors participating in the Campuswide Honors Program students only.,,,[],,"['2019 Spring', '2020 Spring', '2021 Spring', '2022 Spring']"
CHEMH181W,CHEM,H181W,School of Physical Sciences,Honors Seminar in Chemistry,Upper Division (100-199),[],"[2, 2]",Students will receive guidance in the preparation of oral and written research presentations.  A written thesis will be prepared and a formal research seminar will be presented.,Chemistry,"['dlvanvra', 'smang', 'ajshaka', 'rdoedens']","{""AND"":[""CHEM H180A"",""CHEM H180B"",""CHEM H180C""]}","['CHEM H180A', 'CHEM H180B', 'CHEM H180C']",CHEM H180A AND CHEM H180B AND CHEM H180C AND LOWER DIVISION WRITING AND ( NO REPEATS ALLOWED IF GRADE = F OR BETTER ),[],,,,,,, CHEM H180C,['GE Ib: Upper Division Writing'],(Ib),"['2019 Spring', '2020 Spring', '2021 Spring', '2022 Spring']"
CHEMH2A,CHEM,H2A,School of Physical Sciences,Honors General Chemistry,Lower Division (1-99),[],"[4, 4]",Covers the same material as CHEM 1A-CHEM 1B-CHEM M3C but in greater depth. Additional topics will also be included as time permits.,Chemistry,"['aapkaria', 'epotma', 'ajshaka', 'smang', 'rcorn', 'rmpenner', 'aborovik', 'dtobias']","{""OR"":[""AP Chemistry"",""SAT Subject Chemistry""]}","['AP Chemistry', 'SAT Subject Chemistry']", AP Chemistry or SAT Subject Chemistry. AP Chemistry with a minimum score of 4. SAT Subject Chemistry with a minimum score of 700,"['CHEM 1B', 'CHEM H2B', 'CHEM H2LB', 'CHEM M2LA', 'CHEM M2LB', 'ENGRCEE 162', 'ENGR 54', 'MSE 141']",,,,,Campuswide Honors Collegium students only.,"CHEM 1A, CHEM M2A, ENGR 1A.", CHEM H2LA,"['GE II: Science and Technology', 'GE Va: Quantitative Literacy']",(II and Va ).,"['2019 Fall', '2020 Fall', '2021 Fall', '2022 Fall']"
CHEMH2B,CHEM,H2B,School of Physical Sciences,Honors General Chemistry,Lower Division (1-99),[],"[4, 4]",Covers the same material as CHEM 1A-CHEM 1B-CHEM M3C but in greater depth. Additional topics are also included as time permits.,Chemistry,"['ffurche', 'jchemmin', 'smukamel', 'cmurray1', 'rmpenner', 'ajshaka', 'jimsmith']","{""AND"":[""CHEM H2A"",{""OR"":[""CHEM H2LA"",""CHEM M2LA""]}]}","['CHEM H2A', 'CHEM H2LA', 'CHEM M2LA']", CHEM H2A and (CHEM H2LA or CHEM M2LA). CHEM H2A with a grade of C- or better. CHEM H2LA with a grade of C- or better. CHEM M2LA with a grade of C- or better,"['CBE 40A', 'CHEM 1LC', 'CHEM H2C', 'CHEM H2LB', 'CHEM H2LC', 'CHEM M2LB', 'CHEM M3C', 'CHEM M3LC', 'ENGRCEE 160', 'ENGRCEE 162']",,,,,Campuswide Honors Collegium students only.,"CHEM 1B, CHEM M2B.", CHEM H2LB,"['GE II: Science and Technology', 'GE Va: Quantitative Literacy']",(II and Va ).,"['2019 Winter', '2020 Winter', '2021 Winter', '2022 Winter']"
CHEMH2C,CHEM,H2C,School of Physical Sciences,Honors General Chemistry,Lower Division (1-99),[],"[4, 4]",Covers the same material as CHEM 1A-CHEM 1B-CHEM M3C but in greater depth. Additional topics are also included as time permits.,Chemistry,"['lawm', 'andricio', 'rdarasas', 'blums', 'kdmullen', 'wevans', 'aheyduk', 'abrindle', 'nizkorod', 'ajshaka', 'mshiraiw', 'jimsmith']","{""AND"":[""CHEM H2B"",{""OR"":[""CHEM H2LB"",""CHEM M2LB""]}]}","['CHEM H2B', 'CHEM H2LB', 'CHEM M2LB']", CHEM H2B and (CHEM H2LB or CHEM M2LB). CHEM H2B with a grade of C- or better. CHEM H2LB with a grade of C- or better. CHEM M2LB with a grade of C- or better,"['BME 50A', 'BME 114', 'CBE 161', 'CBE 176', 'CHEM H2LC', 'CHEM 5', 'CHEM 51A', 'CHEM H52LA', 'CHEM M52LA', 'CHEM 100', 'CHEM 133', 'CHEM 152', 'EARTHSS 40C', 'EARTHSS 142', 'PHRMSCI 171']",,,,,Campuswide Honors Collegium students only.,"CHEM 1C, CHEM M2C.",,"['GE II: Science and Technology', 'GE Va: Quantitative Literacy']",(II and Va ).,"['2019 Spring', '2020 Spring', '2021 Spring', '2022 Spring']"
CHEMH2LA,CHEM,H2LA,School of Physical Sciences,Honors General Chemistry Laboratory,Lower Division (1-99),[],"[3, 3]",Training and experience in fundamental and analytical laboratory techniques through experiments related to lecture topics in CHEM H2A-CHEM H2B-CHEM H2C. Materials fee.,Chemistry,"['zhao', 'ajshaka', 'kdmullen']","{""OR"":[""AP Chemistry"",""SAT Subject Chemistry""]}","['AP Chemistry', 'SAT Subject Chemistry']", AP Chemistry or SAT Subject Chemistry. AP Chemistry with a minimum score of 4. SAT Subject Chemistry with a minimum score of 700,"['CHEM H2B', 'CHEM H2LB', 'CHEM M2LB']",,,,,Campuswide Honors Collegium students only.,"CHEM M2LA, CHEM 1LC.", CHEM H2A,[],,"['2019 Fall', '2021 Fall', '2022 Fall']"
CHEMH2LB,CHEM,H2LB,School of Physical Sciences,Honors General Chemistry Laboratory,Lower Division (1-99),[],"[3, 3]",Training and experience in fundamental and analytical laboratory techniques through experiments related to lecture topics in CHEM H2A-CHEM H2B-CHEM H2C. Materials fee.,Chemistry,"['rlink', 'kdmullen', 'dlvanvra', 'rmpenner', 'jimsmith']","{""AND"":[""CHEM H2A"",""CHEM H2B"",{""OR"":[""CHEM H2LA"",""CHEM M2LA""]}]}","['CHEM M2LA', 'CHEM H2LA', 'CHEM H2B', 'CHEM H2A']",CHEM H2A AND CHEM H2B AND ( CHEM H2LA OR CHEM M2LA ) AND ( NO REPEATS ALLOWED IF GRADE = F OR BETTER ),"['CHEM H2C', 'CHEM H2LC', 'CHEM M3C', 'CHEM M3LC', 'CHEM 51A', 'CHEM 51LB', 'CHEM H52LA', 'CHEM M52LA', 'ENGRCEE 162']",,,,,No credit for CHEM 1LC if taken after CHEM H2LB or CHEM M2LB.,"CHEM M2LB, CHEM 1LD.", CHEM H2B,[],,"['2019 Winter', '2020 Winter', '2022 Winter']"
CHEMH2LC,CHEM,H2LC,School of Physical Sciences,Honors General Chemistry Laboratory,Lower Division (1-99),[],"[3, 3]",Training and experience in fundamental and analytical laboratory techniques through experiments related to lecture topics in CHEM H2A-CHEM H2B-CHEM H2C. Materials fee.,Chemistry,"['rcorn', 'wevans', 'kdmullen', 'smang', 'ardo', 'dlvanvra', 'rmpenner']","{""AND"":[""CHEM H2B"",""CHEM H2C"",{""OR"":[""CHEM H2LB"",""CHEM M2LB""]}]}","['CHEM H2C', 'CHEM H2LB', 'CHEM M2LB', 'CHEM H2B']",CHEM H2B AND CHEM H2C AND ( CHEM H2LB OR CHEM M2LB ) AND ( NO REPEATS ALLOWED IF GRADE = F OR BETTER ),['CHEM 152'],,,,,,, CHEM H2C,[],,['2019 Spring']
CHEMH52LA,CHEM,H52LA,School of Physical Sciences,Honors Organic Chemistry Laboratory,Lower Division (1-99),[],"[3, 3]",Fundamental techniques of modern experimental organic chemistry. Materials fee.,Chemistry,"['kathleej', 's3king']","{""AND"":[{""OR"":[""CHEM 1LD"",""CHEM H2LB"",""CHEM M2LB""]},{""OR"":[""CHEM 1C"",""CHEM H2C"",""CHEM M2C"",""CHEM M3C""]}]}","['CHEM 1C', 'CHEM H2C', 'CHEM M2C', 'CHEM M3C', 'CHEM M2LB', 'CHEM H2LB', 'CHEM 1LD']", (CHEM 1C or CHEM H2C or CHEM M2C or CHEM M3C) and (CHEM M2LB or CHEM H2LB or CHEM 1LD). CHEM 1C with a grade of C- or better. CHEM H2C with a grade of C- or better. CHEM M2C with a grade of C- or better. CHEM M3C with a grade of C- or better. CHEM M2LB with a grade of C- or better. CHEM H2LB with a grade of C- or better. CHEM 1LD with a grade of C- or better,"['CHEM 51B', 'CHEM H52LB', 'CHEM M52LB']",,,,,Campuswide Honors Collegium students only.,"CHEM 51LB, CHEM M52LA.", CHEM 51A,[],,"['2019 Fall', '2021 Fall', '2022 Fall']"
CHEMH52LB,CHEM,H52LB,School of Physical Sciences,Honors Organic Chemistry Laboratory,Lower Division (1-99),[],"[3, 3]",Fundamental techniques of modern experimental organic chemistry. Materials fee.,Chemistry,"['kathleej', 's3king']","{""AND"":[""CHEM 51A"",""CHEM 51B"",{""OR"":[""CHEM H52LA"",""CHEM M52LA""]}]}","['CHEM M52LA', 'CHEM H52LA', 'CHEM 51A', 'CHEM 51B']",CHEM 51A AND CHEM 51B AND ( CHEM H52LA OR CHEM M52LA ) AND ( NO REPEATS ALLOWED IF GRADE = F OR BETTER ),"['CHEM 51C', 'CHEM 51LC', 'CHEM H52LC', 'CHEM M52LC']",,,,,,"CHEM M52LB, CHEM 51LC.", CHEM 51B,[],,"['2019 Winter', '2020 Winter']"
CHEMH52LC,CHEM,H52LC,School of Physical Sciences,Honors Organic Chemistry Laboratory,Lower Division (1-99),[],"[3, 3]",Fundamental techniques of modern experimental organic chemistry. Materials fee.,Chemistry,['s3king'],"{""AND"":[""CHEM 51B"",""CHEM 51C"",{""OR"":[""CHEM 51LC"",""CHEM H52LB"",""CHEM M52LB""]}]}","['CHEM 51LC', 'CHEM 51B', 'CHEM H52LB', 'CHEM M52LB', 'CHEM 51C']",CHEM 51B AND CHEM 51C AND ( CHEM 51LC OR CHEM H52LB OR CHEM M52LB ) AND ( NO REPEATS ALLOWED IF GRADE = F OR BETTER ),"['CHEM 156', 'CHEM 160']",,,,,,"CHEM 51LD, CHEM M52LC.",,[],,['2019 Spring']
CHEMH90,CHEM,H90,School of Physical Sciences,The Idiom and Practice of Science,Lower Division (1-99),[],"[4, 4]","A series of fundamental and applied problems in the chemical sciences are addressed. Topics may include the periodic table, electronic structure of atoms, chemical bonding, molecular structure, thermodynamics, and kinetics, with applications to energy and the environment, and/or biochemistry.",Chemistry,"['rdarasas', 'kieron', 'agcarlto', 'wevans']",,[],,[],,,,,Campuswide Honors Collegium students only.,,,"['GE II: Science and Technology', 'GE Va: Quantitative Literacy']","(II, Va)","['2019 Spring', '2020 Spring', '2021 Spring', '2022 Spring']"
CHEMM2A,CHEM,M2A,School of Physical Sciences,Majors General Chemistry Lecture,Lower Division (1-99),[],"[4, 4]",Covers the same material as CHEM 1A but in greater depth. Additional topics are included as time permits.,Chemistry,"['aborovik', 'epotma', 'ajshaka']","{""OR"":[""CHEM 1P"",""CHEM 1X"",""MATH 2A"",""MATH 5A"",""PHYS 7C"",""AP Chemistry"",""AP Calculus AB"",""AP Calculus BC"",""ACT Mathematics"",""SAT Mathematics"",""SAT Subject Chemistry""]}","['MATH 5A', 'MATH 2A', 'PHYS 7C', 'CHEM 1X', 'CHEM 1P', 'SAT Mathematics', 'ACT Mathematics', 'SAT Subject Chemistry', 'AP Chemistry', 'AP Calculus AB', 'AP Calculus BC']", MATH 5A or MATH 2A or PHYS 7C or CHEM 1X or CHEM 1P or SAT Mathematics or ACT Mathematics or SAT Subject Chemistry or AP Chemistry or AP Calculus AB or AP Calculus BC. CHEM 1P with a grade of C- or better. SAT Mathematics with a minimum score of 600. ACT Mathematics with a minimum score of 27. SAT Subject Chemistry with a minimum score of 700. AP Chemistry with a minimum score of 3. AP Calculus AB with a minimum score of 4. AP Calculus BC with a minimum score of 3. Placement via a passing score on the ALEKS placement exam is also accepted.,"['CHEM 1B', 'CHEM M2B', 'CHEM M2LA', 'CHEM M2LB']",,,,,Chemistry Majors have first consideration for enrollment.,"CHEM 1A, CHEM H2A, ENGR 1A.",,"['GE II: Science and Technology', 'GE Va: Quantitative Literacy']",(II and Va ).,"['2019 Fall', '2020 Fall', '2021 Fall', '2022 Fall']"
CHEMM2B,CHEM,M2B,School of Physical Sciences,Majors General Chemistry Lecture,Lower Division (1-99),[],"[4, 4]",Covers the same material as CHEM 1B but in greater depth. Additional topics will also be included as time permits.,Chemistry,['nizkorod'],"{""AND"":[""CHEM M2A"",""CHEM M2LA""]}","['CHEM M2A', 'CHEM M2LA']", CHEM M2A and CHEM M2LA. CHEM M2A with a grade of C- or better. CHEM M2LA with a grade of C- or better,"['CHEM M2C', 'CHEM M2LB', 'CHEM M3C', 'CHEM M3LC']",,,,,Chemistry Majors have first consideration for enrollment.,"CHEM H2B, CHEM 1B.",,"['GE II: Science and Technology', 'GE Va: Quantitative Literacy']",(II and Va ).,"['2019 Winter', '2020 Winter', '2021 Winter', '2022 Winter']"
CHEMM2C,CHEM,M2C,School of Physical Sciences,Majors General Chemistry Lecture,Lower Division (1-99),[],"[4, 4]",Covers the same material as CHEM 1C but in greater depth. Additional topics are also included as time permits.,Chemistry,['jimsmith'],"{""AND"":[""CHEM M2B"",""CHEM M2LB""]}","['CHEM M2B', 'CHEM M2LB']", CHEM M2B and CHEM M2LB. CHEM M2B with a grade of C- or better. CHEM M2LB with a grade of C- or better,"['CBE 176', 'CHEM 5', 'CHEM 51A', 'CHEM H52LA', 'CHEM M52LA', 'CHEM 100', 'CHEM 133', 'CHEM 152']",,,,,Chemistry Majors have first consideration for enrollment.,"CHEM 1C, CHEM H2C.",,"['GE II: Science and Technology', 'GE Va: Quantitative Literacy']",(II and Va ).,"['2021 Spring', '2022 Spring']"
CHEMM2LA,CHEM,M2LA,School of Physical Sciences,Majors General Chemistry Laboratory,Lower Division (1-99),[],"[3, 3]",Training and experience in basic laboratory techniques through experiments related to lecture topics in CHEM 1A-CHEM 1B-CHEM M3C. Materials fee.,Chemistry,"['zhao', 'ajshaka', 'kdmullen']","{""OR"":[""CHEM 1A"",""CHEM H2A"",""CHEM M2A"",""AP CHEMISTRY""]}","['AP CHEMISTRY', 'CHEM M2A', 'CHEM 1A', 'CHEM H2A']",( CHEM 1A OR CHEM H2A OR CHEM M2A OR AP CHEMISTRY ) AND ( NO REPEATS ALLOWED IF GRADE = F OR BETTER ),"['CHEM H2B', 'CHEM H2LB', 'CHEM M2B', 'CHEM M2LB']",,,,,Chemistry Majors only.,"CHEM H2LA, CHEM 1LC.",,[],,"['2019 Fall', '2021 Fall', '2022 Fall']"
CHEMM2LB,CHEM,M2LB,School of Physical Sciences,Majors General Chemistry Laboratory,Lower Division (1-99),[],"[3, 3]",Training and experience in basic laboratory techniques through experiments related to lecture topics in CHEM 1A-CHEM 1B-CHEM M3C. Materials fee.,Chemistry,"['kdmullen', 'rlink']","{""AND"":[{""OR"":[""CHEM H2A"",""CHEM M2A""]},{""OR"":[""CHEM H2LA"",""CHEM M2LA""]},{""OR"":[""CHEM 1B"",""CHEM H2B"",""CHEM M2B""]}]}","['CHEM 1B', 'CHEM H2B', 'CHEM M2B', 'CHEM M2A', 'CHEM H2A', 'CHEM M2LA', 'CHEM H2LA']", (CHEM 1B or CHEM H2B or CHEM M2B) and (CHEM M2A or CHEM H2A) and (CHEM M2LA or CHEM H2LA). CHEM 1B with a grade of C- or better. CHEM H2B with a grade of C- or better. CHEM M2B with a grade of C- or better. CHEM M2A with a grade of C- or better. CHEM H2A with a grade of C- or better. CHEM M2LA with a grade of C- or better. CHEM H2LA with a grade of C- or better,"['CHEM H2C', 'CHEM H2LC', 'CHEM M2C', 'CHEM M3C', 'CHEM M3LC', 'CHEM 51A', 'CHEM 51LB', 'CHEM H52LA', 'CHEM M52LA', 'ENGRCEE 162']",,,,,Chemistry Majors only.,"CHEM H2LB, CHEM 1LD.",,[],,"['2019 Winter', '2020 Winter', '2021 Winter', '2022 Winter']"
CHEMM3C,CHEM,M3C,School of Physical Sciences,Majors Quantitative Analytical Chemistry,Lower Division (1-99),[],"[4, 4]","Topics include equilibria, aqueous acid-base equilibria, solubility equilibria, oxidation reduction reactions, electrochemistry, and kinetics with a special emphasis on the statistical treatment of data and analytical methods of chemical analysis.",Chemistry,"['rwmartin', 'agcarlto', 'mshiraiw', 'jimsmith']","{""AND"":[{""OR"":[""CHEM H2LB"",""CHEM M2LB""]},{""OR"":[""CHEM 1B"",""CHEM H2B"",""CHEM M2B""]}]}","['CHEM 1B', 'CHEM H2B', 'CHEM M2B', 'CHEM M2LB', 'CHEM H2LB']", (CHEM 1B or CHEM H2B or CHEM M2B) and (CHEM M2LB or CHEM H2LB). CHEM 1B with a grade of C- or better. CHEM H2B with a grade of C- or better. CHEM M2B with a grade of C- or better. CHEM M2LB with a grade of C- or better. CHEM H2LB with a grade of C- or better,"['CBE 176', 'CHEM 5', 'CHEM 51A', 'CHEM H52LA', 'CHEM M52LA', 'CHEM 100', 'CHEM 133', 'CHEM 152', 'EARTHSS 40C', 'EARTHSS 142']",,,,,Chemistry Majors only.,, CHEM M3LC,"['GE II: Science and Technology', 'GE Va: Quantitative Literacy']",(II and Va ).,"['2019 Spring', '2020 Spring']"
CHEMM3LC,CHEM,M3LC,School of Physical Sciences,Majors Quantitative Analytical Chemistry Laboratory,Lower Division (1-99),[],"[4, 4]",Foundational principles of analytical chemistry and experimental methods for quantitative analysis of real samples. Materials fee.,Chemistry,"['rwmartin', 'rcorn', 'ardo', 'kdmullen', 'smang', 'rmpenner']","{""AND"":[{""OR"":[""CHEM H2LB"",""CHEM M2LB""]},{""OR"":[""CHEM 1B"",""CHEM H2B"",""CHEM M2B""]}]}","['CHEM 1B', 'CHEM H2B', 'CHEM M2B', 'CHEM M2LB', 'CHEM H2LB']", (CHEM 1B or CHEM H2B or CHEM M2B) and (CHEM M2LB or CHEM H2LB). CHEM 1B with a grade of C- or better. CHEM H2B with a grade of C- or better. CHEM M2B with a grade of C- or better. CHEM M2LB with a grade of C- or better. CHEM H2LB with a grade of C- or better,['CHEM 152'],,,,,Chemistry Majors only.,,,[],,"['2019 Spring', '2019 Fall', '2020 Spring', '2020 Fall', '2021 Spring', '2021 Fall', '2022 Spring', '2022 Fall']"
CHEMM52LA,CHEM,M52LA,School of Physical Sciences,Majors Organic Chemistry Laboratory,Lower Division (1-99),[],"[3, 3]","Modern techniques of organic chemistry, using selected experiments to illustrate topics introduced in CHEM 51A-B-C. Materials fee.",Chemistry,['s3king'],"{""AND"":[""CHEM 51A"",{""OR"":[""CHEM 1LD"",""CHEM H2LB"",""CHEM M2LB""]},{""OR"":[""CHEM 1C"",""CHEM H2C"",""CHEM M2C"",""CHEM M3C""]}]}","['CHEM H2LB', 'CHEM 1C', 'CHEM 51A', 'CHEM M2C', 'CHEM M3C', 'CHEM M2LB', 'CHEM 1LD', 'CHEM H2C']",CHEM 51A AND ( CHEM 1LD OR CHEM H2LB OR CHEM M2LB ) AND ( CHEM 1C OR CHEM H2C OR CHEM M2C OR CHEM M3C ) AND ( NO REPEATS ALLOWED IF GRADE = F OR BETTER ),"['CHEM 51B', 'CHEM H52LB', 'CHEM M52LB']",,,,,Chemistry Majors only.,"CHEM H52LA, CHEM 51LB.", CHEM 51A,[],,"['2019 Fall', '2021 Fall', '2022 Fall']"
CHEMM52LB,CHEM,M52LB,School of Physical Sciences,Majors Organic Chemistry Laboratory,Lower Division (1-99),[],"[3, 3]","Modern techniques of organic chemistry, using selected experiments to illustrate topics introduced in CHEM 51A-B-C. Materials fee.",Chemistry,['s3king'],"{""AND"":[""CHEM 51A"",""CHEM 51B"",{""OR"":[""CHEM H52LA"",""CHEM M52LA""]}]}","['CHEM M52LA', 'CHEM H52LA', 'CHEM 51A', 'CHEM 51B']",CHEM 51A AND CHEM 51B AND ( CHEM H52LA OR CHEM M52LA ) AND ( NO REPEATS ALLOWED IF GRADE = F OR BETTER ),"['CHEM 51C', 'CHEM 51LC', 'CHEM H52LC', 'CHEM M52LC']",,,,,Chemistry Majors only.,"CHEM H52LB, CHEM 51LC.", CHEM 51B,[],,"['2019 Winter', '2020 Winter', '2022 Winter']"
CHEMM52LC,CHEM,M52LC,School of Physical Sciences,Majors Organic Chemistry Laboratory,Lower Division (1-99),[],"[3, 3]","Modern techniques of organic chemistry, using selected experiments to illustrate topics introduced in CHEM 51A-B-C. Materials fee.",Chemistry,['s3king'],"{""AND"":[""CHEM 51B"",""CHEM 51C"",{""OR"":[""CHEM H52LB"",""CHEM M52LB""]}]}","['CHEM 51C', 'CHEM H52LB', 'CHEM M52LB', 'CHEM 51B']",CHEM 51B AND CHEM 51C AND ( CHEM H52LB OR CHEM M52LB ) AND ( NO REPEATS ALLOWED IF GRADE = F OR BETTER ),"['CHEM 156', 'CHEM 160']",,,,,Chemistry Majors only.,"CHEM H52LC, CHEM 51LD.", CHEM 51C,[],,"['2019 Spring', '2021 Fall', '2022 Spring']"
